,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,close price,win,win_loss
289,5.22,0.863623171,0.018329849,-1096.738308,0.186062804,0.030260432,0.24710723,52.41818683,58.47914711,62.69697333,-6.06096028,-4.217826222,-5.571,0.402509461,5.7,0.4800000000000004,1
290,4.78,0.915931909,0.016077169,-1158.073722,0.16966517,0.025933293,0.217708669,75.87300012,69.2897868,66.6803446,6.583213316,2.609442199,-5.032,1.130245733,5.78,1.0,1
291,5.14,0.601421448,0.035491227,-1024.501445,0.191589523,0.028894521,0.224145468,75.99786278,67.87439884,64.22125889,8.123463938,3.653139956,-5.032,1.145882594,4.15,-0.9899999999999993,0
299,5.99,0.630287216,0.027766726,-1269.621313,0.181471167,0.026837005,0.293673916,72.771492,66.98232138,64.08720509,5.789170611,2.89511629,-0.618,1.139077093,7.26,1.2699999999999996,1
301,5.21,0.294680142,0.043525404,-1380.967976,0.147025321,0.016991234,0.214725972,47.94197858,48.89754826,47.90995828,-0.955569679,0.987589982,-0.993,0.373667105,6.31,1.0999999999999996,1
302,4.98,0.629439313,0.034877447,-1334.008078,0.163100133,0.022235715,0.261233578,62.17516632,58.34028968,55.67927424,3.834876645,2.661015433,-0.993,0.915983629,6.36,1.38,1
303,4.84,0.690258996,0.032492377,-1332.413291,0.163371611,0.022614809,0.260468807,71.31356676,65.74224552,61.80550379,5.571321248,3.936741722,-0.993,1.047940941,7.08,2.24,1
304,4.86,0.768169283,0.026599627,-1397.777897,0.163592231,0.02302323,0.272910805,78.00686608,73.26941577,68.91780915,4.737450308,4.351606624,-0.993,1.077022839,7.15,2.29,1
305,5.19,0.794176898,0.022388823,-1541.424406,0.16355666,0.022946905,0.301136296,73.53791923,72.26783126,69.49944808,1.270087977,2.768383177,-0.993,1.050535112,6.78,1.5899999999999999,1
306,5.07,0.856347012,0.018042487,-1511.498918,0.163767468,0.023552786,0.294861033,81.98386226,74.72029675,71.38668275,7.263565511,3.333614002,-0.993,0.992947655,6.13,1.0599999999999996,1
307,5.01,0.896990834,0.014424803,-1488.230949,0.163818225,0.024048138,0.290192157,78.52225356,72.11675915,67.64482862,6.405494413,4.471930532,-0.993,0.990611122,5.24,0.23000000000000043,1
314,4.29,0.768175923,0.031323638,-1194.097133,0.170287297,0.024437841,0.223763517,51.29073782,58.21058326,59.63690515,-6.91984544,-1.426321895,-0.663,0.611747681,2.99,-1.2999999999999998,0
315,3.37,0.645173238,0.048992742,-1314.382571,0.152099786,0.019023295,0.197426653,33.85697513,41.46292282,44.15499138,-7.605947696,-2.692068554,-1.543,0.069905691,4.14,0.7699999999999996,1
316,3.65,0.729849289,0.044907173,-1270.381719,0.152302387,0.019479362,0.190514847,72.75099026,64.13154786,59.81286789,8.619442398,4.318679964,-1.543,0.97490707,4.4,0.7500000000000004,1
317,3.29,0.776513864,0.038876175,-1321.143942,0.152349264,0.019665533,0.198092972,80.53462786,70.48253708,65.179161,10.05209078,5.303376083,-1.543,1.025328748,3.98,0.69,1
318,3.34,0.822649505,0.034213212,-1302.559691,0.152381101,0.019964116,0.195239949,73.73183584,65.79390001,62.61851072,7.937935833,3.175389283,-1.543,0.874033378,4.04,0.7000000000000002,1
