,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,close price,win,win_loss
133,6.15,-0.929314471,0.020924676,-9021.408931,0.083750032,-0.006678048,0.309027703,30.99622487,36.12537568,37.67995755,-5.129150812,-1.55458187,7.55,1.3999999999999995,1
134,6.6,-0.517694009,0.022720598,-1301.959555,0.218407986,-0.043564077,0.317193151,29.83472113,35.96173194,38.01509612,-6.127010814,-2.053364171,7.92,1.3200000000000003,1
135,5.37,-0.403410878,0.02522412,-1428.756787,0.202590592,-0.035918337,0.297728409,38.99348315,44.13492767,47.51261483,-5.141444521,-3.377687164,6.46,1.0899999999999999,1
136,5.59,-0.465164774,0.025908882,-1432.62668,0.20203786,-0.036461926,0.299357221,18.1735738,30.16857993,36.98190155,-11.99500612,-6.813321617,6.85,1.2599999999999998,1
137,5.86,-0.528083324,0.025862485,-1441.49702,0.201374778,-0.037022411,0.30220682,28.9095706,32.92335152,35.78292998,-4.01378092,-2.859578458,7.09,1.2299999999999995,1
138,5.58,-0.53872769,0.02574612,-1445.277188,0.200209267,-0.036958225,0.304761159,27.83252448,37.74846057,40.85188537,-9.915936088,-3.103424807,3.87,-1.71,0
144,4.49,-0.502420598,0.033039587,-1134.582011,0.20462711,-0.036272497,0.234171539,16.02853465,28.62647227,36.2847103,-12.59793763,-7.658238027,3.12,-1.37,0
145,4.99,-0.563319674,0.03746377,-1302.393114,0.186038445,-0.030432572,0.224866763,30.90270441,36.21855073,38.16666413,-5.315846317,-1.948113402,6.1,1.1099999999999994,1
146,4.99,-0.544969713,0.030978409,-1203.426937,0.202514457,-0.036580302,0.250947919,27.06474817,31.24926207,34.18979973,-4.184513902,-2.940537657,6.04,1.0499999999999998,1
148,4.94,-0.534660451,0.030424143,-1227.485069,0.200473714,-0.036228567,0.258556475,20.90990034,31.56651842,36.03360548,-10.65661808,-4.467087057,6.04,1.0999999999999996,1
149,4.91,-0.523295373,0.029661946,-1260.402088,0.199445305,-0.036059892,0.266844388,31.6749762,32.96020004,34.87060264,-1.285223833,-1.910402607,4.56,-0.35000000000000053,0
151,3.36,-0.587533164,0.042049388,-1603.583549,0.162144455,-0.023832899,0.227226385,32.46529346,38.7709575,41.68031814,-6.305664042,-2.909360634,4.11,0.7500000000000004,1
152,3.28,-0.522332218,0.04113118,-1672.884152,0.161149766,-0.023455424,0.238491091,17.81679156,28.18991037,33.77595016,-10.3731188,-5.586039797,4.04,0.7600000000000002,1
153,3.42,-0.487414136,0.04010424,-1714.766321,0.160431991,-0.023240979,0.245545196,28.72955884,29.23317657,32.39574945,-0.50361773,-3.162572883,4.2,0.7800000000000002,1
154,3.66,-0.496795299,0.03885539,-1770.345798,0.1598799,-0.023296843,0.254370131,30.89597076,29.646587,31.40514573,1.249383764,-1.758558733,4.64,0.9799999999999995,1
155,3.39,-0.529747103,0.040734447,-1687.110358,0.159404534,-0.023286068,0.243147686,28.64569579,33.85040818,36.16720066,-5.204712389,-2.316792479,4.17,0.7799999999999998,1
156,3.59,-0.500988695,0.04004219,-1718.767455,0.158671399,-0.023087641,0.248846284,29.67816763,34.11747019,36.22500166,-4.439302554,-2.107531478,4.35,0.7599999999999998,1
157,3.61,-0.50586691,0.040258535,-1709.711925,0.158237909,-0.023043258,0.248214347,40.46875593,40.37810557,40.43815094,0.090650363,-0.060045376,2.5,-1.1099999999999999,0
159,5.06,-0.683156258,0.027793574,-961.9553653,0.214385798,-0.043500499,0.238901847,49.58812775,41.70524448,38.6730449,7.882883275,3.03219958,3.47,-1.5899999999999994,0
166,4.3,0.98670208,0.003910342,-1024.390904,0.181821769,0.030663537,0.1802667,38.7525871,35.51547256,37.13896214,3.237114535,-1.623489576,5.2,0.9000000000000004,1
167,4.38,-0.536518288,0.033684024,-1110.245997,0.208014772,-0.03707636,0.225436375,27.00041629,34.41629709,36.88795604,-7.415880801,-2.471658947,5.26,0.8799999999999999,1
168,4.53,-0.510974193,0.033406115,-1122.443464,0.207165091,-0.036723403,0.228838449,44.97147292,45.16257068,45.52969229,-0.191097759,-0.367121611,3.15,-1.3800000000000003,0
172,4.33,-0.086737136,0.043656403,-4971.852958,0.084978666,-0.005632651,0.167872135,25.55678574,31.38652814,34.44808793,-5.829742398,-3.061559787,5.07,0.7400000000000002,1
175,3.27,-0.722879012,0.045200196,-1290.999931,0.169706757,-0.025203826,0.174856087,26.40487109,31.30279853,33.80947726,-4.897927443,-2.506678728,3.93,0.6600000000000001,1
176,3.52,-0.481948819,0.038398031,-1282.282752,0.188027391,-0.030069273,0.219054001,16.27598642,23.13543174,27.01697178,-6.859445326,-3.881540041,4.28,0.7600000000000002,1
177,3.27,-0.929432687,0.015813339,-1515.9427,0.163057291,-0.026691463,0.213658635,49.95579814,39.21126923,34.75235745,10.74452891,4.45891178,2.28,-0.9900000000000002,0
179,6.62,-0.529970424,0.021925691,-1344.25458,0.204016107,-0.041450352,0.350552073,35.18009034,38.66295057,40.55303673,-3.482860224,-1.890086158,7.98,1.3600000000000003,1
180,6.35,-0.536697304,0.022898342,-1287.071547,0.202539994,-0.041007275,0.338104194,17.54903993,26.70895709,31.76638163,-9.159917163,-5.057424542,4.44,-1.9099999999999993,0
181,7.03,-0.395837495,0.023290604,-1532.203196,0.187335484,-0.033828084,0.345220673,17.87926656,26.05725489,30.16360409,-8.177988333,-4.106349194,4.5,-2.5300000000000002,0
182,5.8,-0.619487087,0.023618147,-1514.016626,0.186447719,-0.03582203,0.343149747,34.48019304,40.69531671,41.48656445,-6.215123673,-0.791247734,7.03,1.2300000000000004,1
183,5.27,-0.534264327,0.02621523,-1418.432439,0.184789171,-0.034361668,0.324390629,43.31100457,40.91209032,41.13047342,2.398914257,-0.218383102,5.34,0.07000000000000028,1
184,2.71,-0.523464025,0.054035028,-913.9068124,0.169159731,-0.026806818,0.173890145,22.68016235,28.29920582,33.07244423,-5.619043462,-4.773238415,1.81,-0.8999999999999999,0
187,3.41,-0.570886556,0.040240972,-1209.322264,0.17395402,-0.028491424,0.223593126,14.26990322,23.96926014,30.39298576,-9.699356925,-6.423725619,2.33,-1.08,0
189,4.1,-0.005183564,0.002466289,-8088.073745,0.077875572,-0.005171446,0.297996997,24.33448231,32.34538726,36.50742794,-8.010904951,-4.162040677,3.9,-0.19999999999999973,0
190,3.98,-0.496367521,0.044015695,-2405.839175,0.13914575,-0.017581586,0.258074118,27.83233687,32.15765585,35.80393716,-4.325318977,-3.646281316,4.85,0.8699999999999997,1
191,3.77,-0.547991204,0.037176746,-797.0712705,0.212520102,-0.04064281,0.200147847,14.72882265,23.91626834,29.21744444,-9.187445689,-5.301176095,4.61,0.8400000000000003,1
192,3.78,-0.523074348,0.036589265,-813.2761196,0.211294448,-0.040205919,0.205372573,27.14788652,27.85197956,29.3922505,-0.704093038,-1.540270937,4.62,0.8400000000000003,1
193,3.71,-0.526561744,0.037504716,-793.2669237,0.21021663,-0.039972533,0.201364252,26.30909955,34.73961756,38.17864787,-8.430518008,-3.439030311,4.4,0.6900000000000004,1
194,3.88,-0.821835671,0.034895971,-943.0109695,0.174508113,-0.030122518,0.173986459,43.33925879,47.07752025,45.38907605,-3.738261467,1.688444206,2.61,-1.27,0
195,2.61,-0.425117129,0.047182006,-1025.175689,0.17364591,-0.027048334,0.189950659,26.1194913,33.57288872,38.22651499,-7.453397419,-4.653626267,1.72,-0.8899999999999999,0
201,3.75,0.850998072,0.037423262,-1063.799469,0.160256738,0.021577591,0.151815175,6.208919747,14.13233153,19.78905795,-7.923411781,-5.65672642,4.72,0.9699999999999998,1
202,3.81,-0.517030451,0.036206263,-1035.309368,0.192903317,-0.034221121,0.227024939,20.29661147,24.28562588,25.97077746,-3.989014409,-1.685151575,5.97,2.1599999999999997,1
205,3.1,-0.756272689,0.034755544,-1128.62738,0.173404813,-0.029719289,0.209408174,41.0783437,41.57806068,39.27790274,-0.499716973,2.300157932,2.09,-1.0100000000000002,0
206,3.38,-0.005112755,0.00239996,-8202.195076,0.077245217,-0.005142361,0.304665363,19.8276287,24.67058008,27.10528603,-4.842951386,-2.434705942,4.1,0.7199999999999998,1
207,3.67,-0.502323435,0.039590036,-752.6771766,0.21107488,-0.039666731,0.190323954,29.02058944,34.69489367,35.7708666,-5.674304236,-1.075972932,4.51,0.8399999999999999,1
208,3.6,-0.537717129,0.039831337,-746.0156351,0.21026927,-0.039906469,0.189375857,16.77596835,27.32720878,31.61337194,-10.55124043,-4.286163167,4.48,0.8800000000000003,1
214,1.67,-0.341722524,0.063664984,-994.732865,0.164452945,-0.022059444,0.139277427,20.40764331,28.9706848,34.12206143,-8.563041497,-5.151376622,2.04,0.3700000000000001,1
215,1.78,-0.364216222,0.066272806,-978.5880518,0.164427147,-0.022148994,0.137048383,32.08676007,32.49846316,35.17343455,-0.411703086,-2.674971389,2.19,0.4099999999999999,1
216,1.67,-0.406181355,0.067931737,-987.2770638,0.164349798,-0.022357583,0.138330593,33.57703551,37.5994049,38.98529233,-4.02236939,-1.385887427,2.02,0.3500000000000001,1
217,1.51,-0.459527023,0.073502326,-935.6109609,0.164262835,-0.02253909,0.131191036,38.9068231,39.56836635,40.62663671,-0.661543242,-1.058270367,1.85,0.3400000000000001,1
218,1.99,-0.463427318,0.071367994,-964.4656136,0.163815466,-0.022537762,0.135590771,20.34321373,28.52659768,32.58095743,-8.183383946,-4.054359754,1.34,-0.6499999999999999,0
219,4.17,-0.463427318,0.071367994,-964.4656136,0.163815466,-0.022537762,0.135590771,31.06046375,34.69570864,36.79154834,-3.635244887,-2.095839694,5.14,0.9699999999999998,1
