index,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,win_loss
109,-0.570887,0.040241,-1209.322264,0.173954,-0.028491,0.223593,14.269903,23.969260,30.392986,-9.699357,-6.423726,-8.140,-0.208957,0.993103,1.007860,1.000909,0.0
110,-0.005184,0.002466,-8088.073745,0.077876,-0.005171,0.297997,24.334482,32.345387,36.507428,-8.010905,-4.162041,-7.451,0.036046,0.997417,1.007574,1.004972,0.0
111,-0.496368,0.044016,-2405.839175,0.139146,-0.017582,0.258074,27.832337,32.157656,35.803937,-4.325319,-3.646281,-4.452,-0.029862,0.994167,1.007579,1.001701,1.0
112,-0.547991,0.037177,-797.071270,0.212520,-0.040643,0.200148,14.728823,23.916268,29.217444,-9.187446,-5.301176,-4.452,-0.112186,0.994167,1.012722,1.006814,1.0
113,-0.523074,0.036589,-813.276120,0.211294,-0.040206,0.205373,27.147887,27.851980,29.392250,-0.704093,-1.540271,-4.452,0.079504,0.994167,1.017599,1.011663,1.0
114,-0.526562,0.037505,-793.266924,0.210217,-0.039973,0.201364,26.309100,34.739618,38.178648,-8.430518,-3.439030,-4.452,-0.117835,0.994167,1.023113,1.017145,1.0
115,-0.821836,0.034896,-943.010969,0.174508,-0.030123,0.173986,43.339259,47.077520,45.389076,-3.738261,1.688444,0.444,0.482699,1.009797,1.007570,1.017442,0.0
116,-0.425117,0.047182,-1025.175689,0.173646,-0.027048,0.189951,26.119491,33.572889,38.226515,-7.453397,-4.653626,1.212,0.176148,1.000027,1.007585,1.007612,0.0
117,0.850998,0.037423,-1063.799469,0.160257,0.021578,0.151815,6.208920,14.132332,19.789058,-7.923412,-5.656726,2.521,-0.191185,1.000156,1.007633,1.007790,1.0
118,-0.517030,0.036206,-1035.309368,0.192903,-0.034221,0.227025,20.296611,24.285626,25.970777,-3.989014,-1.685152,2.521,-0.092176,1.000156,1.012893,1.013051,1.0
119,-0.756273,0.034756,-1128.627380,0.173405,-0.029719,0.209408,41.078344,41.578061,39.277903,-0.499717,2.300158,-1.361,0.343708,1.011967,1.007753,1.019813,0.0
120,-0.005113,0.002400,-8202.195076,0.077245,-0.005142,0.304665,19.827629,24.670580,27.105286,-4.842951,-2.434706,-0.425,0.015031,0.991709,1.007654,0.999299,1.0
121,-0.502323,0.039590,-752.677177,0.211075,-0.039667,0.190324,29.020589,34.694894,35.770867,-5.674304,-1.075973,-0.425,0.034253,0.991709,1.012106,1.003714,1.0
122,-0.537717,0.039831,-746.015635,0.210269,-0.039906,0.189376,16.775968,27.327209,31.613372,-10.551240,-4.286163,-0.425,-0.002053,0.991709,1.017102,1.008669,1.0
123,-0.341723,0.063665,-994.732865,0.164453,-0.022059,0.139277,20.407643,28.970685,34.122061,-8.563041,-5.151377,2.183,-0.074201,0.998848,1.007596,1.006435,1.0
