Date,residuals,dow,month,dom,yest_volume,yest_p_diff,CNN-2,CNN-dif-2,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6
2023-01-25,-1.1142314910888445,2,1,25,72287430.0,0.004002470660901802,63.0,-1.0,-1.7836540222168082,4.768089179992671,5.875987892150874,-4.598284111022963,-7.110029945373526,-3.2959141540527526
2023-01-26,1.3267631530761719,3,1,26,68346180.0,0.004991619010057272,64.0,1.0,-1.1142314910888445,-1.7836540222168082,4.768089179992671,5.875987892150874,-4.598284111022963,-7.110029945373526
2023-01-27,-0.12756378173827443,4,1,27,74202020.0,-0.005516862627624346,68.0,4.0,1.3267631530761719,-1.1142314910888445,-1.7836540222168082,4.768089179992671,5.875987892150874,-4.598284111022963
2023-01-30,-7.122328910827662,0,1,30,86811790.0,0.013161779177327353,69.0,1.0,-0.12756378173827443,1.3267631530761719,-1.1142314910888445,-1.7836540222168082,4.768089179992671,5.875987892150874
2023-01-31,3.619068603515643,1,1,31,101459200.0,0.013605160662122683,67.0,-2.0,-7.122328910827662,-0.12756378173827443,1.3267631530761719,-1.1142314910888445,-1.7836540222168082,4.768089179992671
2023-02-01,3.3945816040039176,2,2,1,101654500.0,0.00460674696482547,70.0,3.0,3.619068603515643,-7.122328910827662,-0.12756378173827443,1.3267631530761719,-1.1142314910888445,-1.7836540222168082
2023-02-02,3.7090065765380587,3,2,2,94736780.0,0.0018430944585911184,82.0,12.0,3.3945816040039176,3.619068603515643,-7.122328910827662,-0.12756378173827443,1.3267631530761719,-1.1142314910888445
2023-02-03,-5.903788948059059,4,2,3,60295330.0,9.760144450128985e-05,75.0,-7.0,3.7090065765380587,3.3945816040039176,3.619068603515643,-7.122328910827662,-0.12756378173827443,1.3267631530761719
2023-02-06,-6.285784645080582,0,2,6,90990750.0,0.015221946578674808,76.0,1.0,-5.903788948059059,3.7090065765380587,3.3945816040039176,3.619068603515643,-7.122328910827662,-0.12756378173827443
2023-02-07,3.3049492263793923,1,2,7,76227460.0,-0.006039206136612732,76.0,0.0,-6.285784645080582,-5.903788948059059,3.7090065765380587,3.3945816040039176,3.619068603515643,-7.122328910827662
2023-02-08,-6.255836105346702,2,2,8,78694860.0,-0.017981281780441796,76.0,0.0,3.3049492263793923,-6.285784645080582,-5.903788948059059,3.7090065765380587,3.3945816040039176,3.619068603515643
2023-02-09,-5.2652303314209234,3,2,9,70769720.0,0.005342613469267735,75.0,-1.0,-6.255836105346702,3.3049492263793923,-6.285784645080582,-5.903788948059059,3.7090065765380587,3.3945816040039176
2023-02-10,-0.05006595611570219,4,2,10,64913540.0,0.009955671826175318,72.0,-3.0,-5.2652303314209234,-6.255836105346702,3.3049492263793923,-6.285784645080582,-5.903788948059059,3.7090065765380587
2023-02-13,3.122379379272445,0,2,13,88389310.0,0.0033927879022876534,72.0,0.0,-0.05006595611570219,-5.2652303314209234,-6.255836105346702,3.3049492263793923,-6.285784645080582,-5.903788948059059
2023-02-14,-0.7244971847534316,1,2,14,61685280.0,0.008768539542973078,73.0,1.0,3.122379379272445,-0.05006595611570219,-5.2652303314209234,-6.255836105346702,3.3049492263793923,-6.285784645080582
2023-02-15,-0.7752223205566224,2,2,15,76431470.0,-0.001249142745174997,73.0,0.0,-0.7244971847534316,3.122379379272445,-0.05006595611570219,-5.2652303314209234,-6.255836105346702,3.3049492263793923
2023-02-16,-5.699389190673855,3,2,16,89257820.0,0.0029465206501988624,74.0,1.0,-0.7752223205566224,-0.7244971847534316,3.122379379272445,-0.05006595611570219,-5.2652303314209234,-6.255836105346702
