date,open,high,low,close,volume
1/16/2020,311.767,312.9206,311.5306,312.9206,53788867
1/17/2020,313.6582,314.1121,312.8581,313.8946,95778839
1/21/2020,312.9017,314.1121,312.8261,313.28,77624157
1/22/2020,314.1688,314.8402,313.157,313.3178,48705035
1/23/2020,312.6464,314.1009,311.4928,313.6771,51828259
1/24/2020,314.3579,314.4431,309.5543,310.8876,87465785
1/27/2020,305.4598,307.4361,305.1099,305.9042,83797934
1/28/2020,307.3794,310.0176,306.0024,309.1098,63519891
1/29/2020,310.5188,310.7552,308.6465,308.8545,53714641
1/30/2020,306.7174,310.0743,305.942,309.8569,75184385
1/31/2020,309.2138,309.3746,303.2849,304.2305,113659402
2/3/2020,305.7624,308.4195,305.6394,306.4905,68931216
2/4/2020,310.2256,312.0601,309.8947,311.1618,61704740
2/5/2020,314.1973,314.9726,312.6842,314.7551,64864742
2/6/2020,315.748,316.0128,314.6984,315.8142,49982975
2/7/2020,314.7173,315.8275,313.5636,314.131,64074382
2/10/2020,313.2138,316.5423,313.1759,316.4761,41779456
2/11/2020,317.8848,318.6888,316.4799,317.0246,54773045
2/12/2020,318.5092,319.2846,318.1309,319.0671,42844434
2/13/2020,317.5939,319.729,317.3082,318.7267,54038002
2/14/2020,319.1522,319.3602,317.9134,319.2373,64518123
2/18/2020,318.2066,319.3013,316.9773,318.4146,57195407
2/19/2020,319.417,320.6368,319.1238,319.937,48587393
2/20/2020,319.3718,320.2207,315.5321,318.6226,73891268
2/21/2020,317.2231,317.5446,314.4903,315.3414,113656552
2/24/2020,305.5638,315.4192,303.7671,304.883,160991237
2/25/2020,306.3203,306.9538,294.7366,295.6444,217564684
2/26/2020,297.0911,300.8074,293.8004,294.5569,192818004
2/27/2020,288.8454,294.6172,281.3279,281.3279,282544492
2/28/2020,272.9971,281.6891,270.0089,280.1458,384911854
3/2/2020,281.9898,292.3442,278.4438,292.278,237377617
3/3/2020,292.6657,296.7696,281.3846,283.9094,298851919
3/4/2020,289.4695,296.0699,286.8313,295.8429,175893889
3/5/2020,288.3916,291.6917,283.6919,286.0086,185533970
3/6/2020,277.205,282.5288,274.4438,281.2806,228315219
3/9/2020,260.3259,268.7324,258.5765,259.3141,305980554
3/10/2020,269.1579,272.8268,258.6238,272.7323,274894230
3/11/2020,265.4322,266.6047,256.1463,259.437,254604444
3/12/2020,242.0757,252.1558,234.2082,234.6148,389612072
3/13/2020,248.78,256.7093,235.006,254.6712,326142197
3/16/2020,228.0618,242.9267,224.4495,226.8041,295019288
3/17/2020,231.7118,242.2364,224.1753,239.0497,260566279
3/18/2020,223.3999,234.8607,215.6176,226.9459,324845381
3/19/2020,226.2367,233.9245,219.5891,227.4282,288124389
3/20/2020,230.7472,232.5929,217.3988,217.6842,344276957
3/23/2020,217.1039,218.5246,207.6563,212.1184,323100167
3/24/2020,223.0312,232.2409,222.4413,231.3371,233038623
3/25/2020,232.9735,243.8958,228.1023,234.8002,297989659
3/26/2020,237.3976,250.0324,236.9504,248.5102,256107410
3/27/2020,240.9654,248.1391,238.8533,241.1081,223871285
3/30/2020,243.2774,249.6804,241.2128,248.9383,171274407
3/31/2020,247.9012,250.5367,243.7721,245.2278,193290928
4/1/2020,235.9324,245.1413,232.0506,234.1913,188373330
4/2/2020,233.278,240.4041,232.7071,239.5954,176669824
4/3/2020,238.5774,241.013,233.3065,236.1322,134538553
4/6/2020,245.3134,254.0284,236.113,251.9923,186692564
4/7/2020,260.8881,261.6682,252.0209,252.2492,199187791
4/8/2020,254.9417,262.5911,252.3674,260.7168,152670223
4/9/2020,264.0848,267.5385,262.0869,264.6842,189948139
4/13/2020,263.6757,264.0278,258.2241,262.2676,114353986
4/14/2020,267.3292,271.0587,262.1255,270.0027,133510280
4/15/2020,264.0848,270.146,262.0774,264.2656,121155983
4/16/2020,265.5881,266.4253,262.3628,265.5405,126144324
4/17/2020,271.5154,273.3421,268.6802,272.7142,146455688
4/20/2020,268.88,272.8581,267.6812,267.9095,99323028
4/21/2020,263.2857,264.532,258.8045,259.7749,125772551
4/22/2020,264.827,267.3482,263.4569,265.5405,92831657
4/23/2020,266.863,270.1454,265.2075,265.5215,103685412
4/24/2020,267.0913,269.917,264.9697,269.2225,85042563
4/27/2020,271.268,274.265,270.7923,273.1043,77516422
4/28/2020,276.8814,277.2429,271.5344,271.8484,104797847
4/29/2020,277.3666,280.5539,276.301,278.965,118066585
4/30/2020,277.5379,279.0734,274.5695,276.3676,121537052
5/1/2020,271.4488,276.5362,267.8429,269.0512,125045778
5/4/2020,267.1008,270.1073,265.5691,269.7934,80462952
5/5/2020,272.7142,275.1974,269.9298,272.2861,79199214
5/6/2020,274.0462,274.4458,269.9931,270.4403,72980387
5/7/2020,273.7703,275.7017,273.1804,273.7037,74788296
5/8/2020,276.948,278.7176,275.7778,278.2324,76446082
5/11/2020,276.2344,279.7166,275.7968,278.2895,78982891
5/12/2020,279.5168,279.945,272.6,272.7427,94484342
5/13/2020,272.1624,273.2375,265.4121,267.9191,144035915
5/14/2020,265.3978,271.2585,259.7274,271.1253,121473094
5/15/2020,268.6517,272.4193,267.6717,272.3717,111015834
5/18/2020,278.8128,282.333,278.4798,280.668,119719465
5/19/2020,280.0496,281.8145,277.7662,277.7853,94317356
5/20/2020,281.4292,283.3986,281.2104,282.5043,85279592
5/21/2020,282.3711,283.2083,279.4204,280.5539,77863922
5/22/2020,280.2399,281.2674,278.9745,281.0867,63697627
5/26/2020,287.2614,287.5087,281.1101,284.5498,88604807
5/27/2020,287.4421,288.8217,282.4472,288.7836,104086252
5/28/2020,289.8492,291.9328,287.5563,288.2508,90232213
5/29/2020,287.7579,290.1442,284.9209,289.5353,119067393
6/1/2020,288.8693,291.3287,288.3365,290.7055,55696013
6/2/2020,291.6569,293.1602,290.2774,293.1126,73635043
